選挙年,届出番号,前回届出番号,候補者名,新聞表記_姓,新聞表記_名,党派,現元新,得票数,前回得票数,当落,新聞当選回数,新聞年齢,定数,推薦_連合,
2013,20,.,上の まさよ ,上野,雅代,無所属 ,元 ,721,.,1,3,？,18,？,
2017,1,.,小林 よしのり,小林,義典,無所属,新,992,.,1,1,61,18,0,
2017,2,18,かとう 貞一郎,加藤,貞一郎,無所属,現,"1,119",960,1,3,65,18,0,
2017,3,14,松原 栄樹,松原,栄樹,無所属,現,"1,079",1002,1,4,68,18,0,
2017,4,.,田渕 潤次,田淵,潤治,無所属,新,204,.,0,0,69,18,0,
2017,5,12,植中 みやこ,植中,都,無所属,現,"1,051",1007,1,5,72,18,0,
2017,6,1,立入 よしはる,立入,善治,日本共産党,現,958,1026.495,1,3,65,18,0,
2017,7,13,望月 たかし,望月,卓,無所属,現,906,693,1,5,71,18,0,
2017,8,.,小山 まさのり,小山,正則,無所属,新,474,.,0,0,53,18,0,
2017,9,9,松井 けい子,松井,圭子,日本共産党,現,"1,475",1301,1,4,50,18,0,
2017,10,3,くわはらだ 美知子,桑原田,美知子,公明党,現,"1,482",1484,1,2,60,18,0,
2017,11,20,上野 けんすけ,上野,顕介,無所属,現,"1,171",721,1,2,44,18,0,
2017,12,19,すがぬま 利紀,菅沼,利紀,自由民主党,現,"2,622",1323,1,2,40,18,0,
2017,13,7,松山 かつ子,松山,克子,無所属,現,818,906,0,.,73,18,0,
2017,14,.,大島 正秀,大島,正秀,無所属,新,994,.,1,1,67,18,0,
2017,15,2,森 すなお,森,淳,無所属,現,897,967,1,5,60,18,0,
2017,16,.,細川 ゆかり,細川,ゆかり,公明党,新,"1,550",.,1,1,56,18,0,
2017,17,.,堀田 しげき,堀田,繁樹,無所属,現,828,.,1,2,61,18,0,
2017,18,8,あわづ ひろみ,粟津,寛三,無所属,現,532,739,0,.,57,18,0,
2017,19,.,藤川 みゆき,藤川,みゆき,無所属,現,"1,596",.,1,2,43,18,0,
2017,20,4,赤祖父 ゆみ,赤祖父,裕美,無所属,現,"1,786",1088,1,5,56,18,1,
2017,21,.,奥村 みきお,奥村,幹郎,無所属,新,866,.,1,1,55,18,1,
2017,22,15,大角 みちお,大角,道雄,無所属,新,"1,018",666,1,1,63,18,0,
2021,1,20,赤祖父 ゆみ,赤祖父,裕美,無所属,現,"1,183",1786,1,？,60,18,？,
2021,2,9,松井 けい子,松井,圭子,日本共産党,現,"1,135",1475,1,？,54,18,？,
2021,3,16,細川 ゆかり,細川,ゆかり,公明党,現,"1,419",1550,1,？,60,18,？,
2021,4,14,大島 正秀,大島,正秀,無所属,現,658,994,1,？,71,18,？,
2021,5,1,小林 よしのり,小林,義典,無所属,現,633,992,0,？,65,18,？,
2021,6,3,松原 栄樹,松原,栄樹,無所属,現,"1,189",1079,1,？,72,18,？,
2021,7,2,かとう 貞一郎,加藤,貞一郎,無所属,現,779,1119,1,？,69,18,？,
2021,8,17,堀田 しげき,堀田,繁樹,無所属,現,868,828,1,？,65,18,？,
2021,9,.,中土 しょうた,中土,翔太,無所属,現,"1,850",.,1,？,34,18,？,
2021,10,19,藤川 みゆき,藤川,みゆき,無所属,現,"1,419",1596,1,？,47,18,？,
